Time(s),DC_V(V),DC_I(A),AC_V(V),AC_I(A),Combined_V(V),Combined_I(A)
0.0,-0.2,0.0007639138618200507,0.007068238818828916,0.0007068238818828917,-0.19293176118117109,0.0014707377437029423
0.010005002501250625,-0.1994997498749375,0.0007353898356790088,0.007068238818828916,0.0007068238818828917,-0.19243151105610856,0.0014422137175619004
0.02001000500250125,-0.19899949974987494,0.00037425609636516124,0.007068238818828916,0.0007068238818828917,-0.191931260931046,0.0010810799782480529
0.030015007503751877,-0.1984992496248124,0.0002857048314596371,0.007068238818828916,0.0007068238818828917,-0.1914310108059835,0.0009925287133425288
0.0400200100050025,-0.1979989994997499,0.0008444067260533071,0.007068238818828916,0.0007068238818828917,-0.19093076068092096,0.0015512306079361988
0.05002501250625312,-0.19749874937468737,0.0005916228573430439,0.007068238818828916,0.0007068238818828917,-0.19043051055585844,0.0012984467392259356
0.060030015007503754,-0.19699849924962481,0.00010883499058327928,0.007068238818828916,0.0007068238818828917,-0.1899302604307959,0.000815658872466171
0.07003501750875438,-0.1964982491245623,4.983683597830035e-05,0.007068238818828916,0.0007068238818828917,-0.18943001030573337,0.0007566607178611921
0.080040020010005,-0.19599799899949977,0.000950713965245927,0.007068238818828916,0.0007068238818828917,-0.18892976018067084,0.0016575378471288186
0.09004502251125562,-0.19549774887443722,0.0001913988184464922,0.007068238818828916,0.0007068238818828917,-0.1884295100556083,0.0008982227003293838
0.10005002501250625,-0.1949974987493747,0.0007626539317613213,0.007068238818828916,0.0007068238818828917,-0.18792925993054577,0.001469477813644213
0.11005502751375687,-0.19449724862431217,0.0007313946129602862,0.007068238818828916,0.0007068238818828917,-0.18742900980548324,0.001438218494843178
0.12006003001500751,-0.19399699849924965,0.000575454047991203,0.007068238818828916,0.0007068238818828917,-0.18692875968042072,0.0012822779298740947
0.13006503251625812,-0.1934967483741871,0.0002824341982715408,0.007068238818828916,0.0007068238818828917,-0.18642850955535817,0.0009892580801544324
0.14007003501750875,-0.19299649824912457,0.0005864390729887019,0.007068238818828916,0.0007068238818828917,-0.18592825943029564,0.0012932629548715936
0.15007503751875936,-0.19249624812406205,0.0005158238750067247,0.007068238818828916,0.0007068238818828917,-0.18542800930523312,0.0012226477568896164
0.16008004002001,-0.19199599799899952,0.0007152517465842016,0.007068238818828916,0.0007068238818828917,-0.1849277591801706,0.0014220756284670931
0.17008504252126064,-0.19149574787393697,0.000395575346984103,0.007068238818828916,0.0007068238818828917,-0.18442750905510805,0.0011023992288669948
0.18009004502251125,-0.19099549774887445,0.000781456192837184,0.007068238818828916,0.0007068238818828917,-0.18392725893004552,0.0014882800747200756
0.19009504752376188,-0.19049524762381193,0.0008948133361606856,0.007068238818828916,0.0007068238818828917,-0.183427008804983,0.0016016372180435773
0.2001000500250125,-0.18999499749874937,0.000585661841833129,0.007068238818828916,0.0007068238818828917,-0.18292675867992045,0.0012924857237160206
0.21010505252626313,-0.18949474737368685,0.00024423924592037693,0.007068238818828916,0.0007068238818828917,-0.18242650855485792,0.0009510631278032687
0.22011005502751374,-0.18899449724862433,0.0008362363134875165,0.007068238818828916,0.0007068238818828917,-0.1819262584297954,0.0015430601953704082
0.23011505752876438,-0.1884942471235618,0.0008375028819338359,0.007068238818828916,0.0007068238818828917,-0.18142600830473288,0.0015443267638167277
0.24012006003001501,-0.18799399699849925,0.0009498365271469794,0.007068238818828916,0.0007068238818828917,-0.18092575817967033,0.001656660409029871
0.25012506253126565,-0.18749374687343673,0.0008610780795802268,0.007068238818828916,0.0007068238818828917,-0.1804255080546078,0.0015679019614631183
0.26013006503251623,-0.1869934967483742,0.0004923899164283076,0.007068238818828916,0.0007068238818828917,-0.17992525792954528,0.0011992137983111992
0.27013506753376687,-0.18649324662331168,0.0003650593434364354,0.007068238818828916,0.0007068238818828917,-0.17942500780448276,0.001071883225319327
